date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:45	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/js/isotope.pkgd.min.js	(from https://turulav.com/)
17:24:46	5504/5504	---M-Z	200	added ('OK')	application/javascript	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/js/functions.js	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/js/functions.js	(from https://turulav.com/)
17:24:47	1163/1163	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2014:24:46%20GMT	https://turulav.com/assets/css/fonts/icofont.woff	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/css/fonts/icofont.woff	(from https://turulav.com/assets/css/icofont.min.css)
17:24:48	76116/76116	---M--	200	added ('OK')	image/jpeg	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/images/bg.jpg	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/images/bg.jpg	(from https://turulav.com/assets/css/style.css)
17:24:48	537868/537868	---M--	200	added ('OK')	application/font-woff2	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/css/fonts/icofont.woff2	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/css/fonts/icofont.woff2	(from https://turulav.com/assets/css/icofont.min.css)
17:24:49	582/582	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22095bdd9742bd71:0%22	https://turulav.com/assets/images/pricing-plan/pricing-plan.svg	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/images/pricing-plan/pricing-plan.svg	(from https://turulav.com/assets/css/style.css)
17:24:49	293884/293884	---M--	200	added ('OK')	image/jpeg	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/images/banner/bg.jpg	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/images/banner/bg.jpg	(from https://turulav.com/assets/css/style.css)
17:24:50	18913/18913	---M--	200	added ('OK')	image/png	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/images/banner/shape-top.png	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/images/banner/shape-top.png	(from https://turulav.com/assets/css/style.css)
17:24:51	17371/17371	---M--	200	added ('OK')	image/png	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/images/banner/shape-bottom.png	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/images/banner/shape-bottom.png	(from https://turulav.com/assets/css/style.css)
17:24:52	2824/2824	---M--	200	added ('OK')	image/png	etag:%22095bdd9742bd71:0%22	https://turulav.com/assets/images/work/arrow.png	C:/My%20Web%20Sites/datingturuluv%20theme/turulav.com/assets/images/work/arrow.png	(from https://turulav.com/assets/css/style.css)
